l n nu E
 0 1 258.0344 4.84004E-04 
 0 2 404.4900 1.00558E-04 
 0 3 535.9459 2.49021E-05 
 0 4 680.5836 7.50331E-06 
 0 5 825.3811 2.59512E-06
 0 6 972.7674 9.91615E-07
 0 7 1118.1755 4.18847E-07
 0 8 1263.5549 1.79654E-07
 0 9 1407.6645 7.92472E-08
 0 10 1548.5677 3.51889E-08
 0 11 1686.8748 1.67273E-08
 0 12 1822.2836 9.09432E-09
 0 13 1957.5238 5.51740E-09
 0 14 2093.5856 3.58305E-09
 0 15 2228.9138 2.39270E-09
 0 16 2363.5511 1.66947E-09
 0 17 2497.4374 1.26929E-09
 0 18 2631.4982 1.03805E-09
 0 19 2766.7627 8.90726E-10
 0 20 2902.3388 7.83045E-10
 0 21 3038.1458 6.98987E-10
 0 22 3174.1862 6.43165E-10
 0 23 3310.2645 6.07773E-10
 0 24 3446.9894 5.86569E-10
 0 25 3584.0267 5.75906E-10
 0 26 3721.2857 5.69498E-10
 0 27 3858.9273 5.70172E-10
 0 28 3996.6066 5.75913E-10
 0 29 4134.5248 5.84915E-10
 0 30 4272.5214 6.01448E-10
 0 31 4410.5204 6.22966E-10
 0 32 4548.6942 6.50949E-10
 0 33 4686.6069 6.88375E-10
 0 34 4824.3569 7.40195E-10
 0 35 4961.8088 8.19364E-10
 1 1 285.1433 3.81402E-04
 1 2 448.5046 5.18549E-05
 1 3 596.9734 1.41729E-05
 1 4 746.6988 4.42351E-06
 1 5 893.7508 1.65790E-06
 1 6 1039.5961 6.59057E-07
 1 7 1185.6556 2.82979E-07
 1 8 1329.7397 1.23805E-07
 1 9 1473.0231 5.39902E-08
 1 10 1612.7856 2.47311E-08
 1 11 1749.4537 1.23674E-08
 1 12 1885.1727 7.10713E-09
 1 13 2020.7414 4.49873E-09
 1 14 2156.9289 2.94140E-09
 1 15 2292.3574 2.00350E-09
 1 16 2426.4676 1.45033E-09
 1 17 2560.7413 1.14087E-09
 1 18 2695.5051 9.62500E-10
 1 19 2831.0624 8.33937E-10
 1 20 2967.1471 7.38508E-10
 1 21 3103.0515 6.69441E-10
 1 22 3239.2983 6.22202E-10
 1 23 3375.8699 5.96263E-10
 1 24 3512.7444 5.80039E-10
 1 25 3650.1455 5.71190E-10
 1 26 3787.6092 5.69384E-10
 1 27 3925.3526 5.71418E-10
 1 28 4063.3328 5.79526E-10
 1 29 4201.2480 5.91943E-10
 1 30 4339.4062 6.10252E-10
 1 31 4477.5546 6.35987E-10
 1 32 4615.6458 6.66844E-10
 1 33 4753.6294 7.10812E-10
 1 34 4891.2349 7.74561E-10
 2 0 355.8207 4.31796E-04
 2 1 384.2141 2.22080E-04
 2 2 514.5098 2.79582E-05
 2 3 664.4372 8.30759E-06
 2 4 811.7986 2.80884E-06
 2 5 959.9081 1.07548E-06
 2 6 1105.2042 4.51168E-07
 2 7 1250.7750 1.93458E-07
 2 8 1394.7523 8.54774E-08
 2 9 1536.0394 3.77065E-08
 2 10 1674.7330 1.77876E-08
 2 11 1810.3472 9.53063E-09
 2 12 1945.8913 5.72483E-09
 2 13 2082.1404 3.70668E-09
 2 14 2217.8488 2.46243E-09
 2 15 2352.9569 1.70890E-09
 2 16 2487.1264 1.28981E-09
 2 17 2621.5080 1.04819E-09
 2 18 2757.0514 8.97869E-10
 2 19 2892.9077 7.87675E-10
 2 20 3029.0791 7.01878E-10
 2 21 3165.3987 6.44831E-10
 2 22 3301.7645 6.07923E-10
 2 23 3438.7739 5.86339E-10
 2 24 3576.0451 5.75269E-10
 2 25 3713.5784 5.68460E-10
 2 26 3851.4514 5.69090E-10
 2 27 3989.3519 5.74449E-10
 2 28 4127.5090 5.83342E-10
 2 29 4265.6971 5.99636E-10
 2 30 4403.9041 6.20765E-10
 2 31 4542.2726 6.48653E-10
 2 32 4680.3677 6.85451E-10
 2 33 4818.3136 7.36465E-10
 2 34 4955.9395 8.14310E-10
 3 0 397.0325 5.83672E-04
 3 1 416.4011 8.70582E-05
 3 2 564.7510 1.75922E-05
 3 3 718.5554 5.36846E-06
 3 4 866.9871 1.94493E-06
 3 5 1015.0536 7.56805E-07
 3 6 1161.7273 3.23852E-07
 3 7 1306.8397 1.40106E-07
 3 8 1451.1124 6.11927E-08
 3 9 1591.6064 2.76633E-08
 3 10 1729.2850 1.35326E-08
 3 11 1865.3256 7.64212E-09
 3 12 2001.1702 4.76970E-09
 3 13 2137.9164 3.10654E-09
 3 14 2273.7870 2.10137E-09
 3 15 2408.5135 1.50050E-09
 3 16 2543.2168 1.16873E-09
 3 17 2678.2396 9.78095E-10
 3 18 2814.2705 8.44494E-10
 3 19 2950.7591 7.46623E-10
 3 20 3087.1037 6.73677E-10
 3 21 3223.8287 6.24389E-10
 3 22 3360.7448 5.96753E-10
 3 23 3498.0541 5.79233E-10
 3 24 3635.8630 5.70248E-10
 3 25 3773.7030 5.67527E-10
 3 26 3911.8780 5.69203E-10
 3 27 4050.2157 5.77136E-10
 3 28 4188.5189 5.88741E-10
 3 29 4327.0520 6.06844E-10
 3 30 4465.5264 6.31970E-10
 3 31 4603.9943 6.62146E-10
 3 32 4742.3052 7.05127E-10
 3 33 4880.2428 7.66662E-10
