x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000386048139654260e+00	1.989000000396320047e+33	5.351600549088447876e+11	3.239947680631115112e+11	2.727584698000000141e-01	6.962588289000000000e+10	8.653575157000000339e-11	4.876022342999999637e+03	9.943128001999999469e+03	3.068916223999999916e-08	7.444151885999999996e-01	3.844720122999999817e+33	5.510771921999999684e-02	0.000000000000000000e+00	1.651755236999999932e+00	3.934090474999999976e-01	1.004065017000000060e+00	1.696267594000000060e+08	8.923533627999999940e-01	2.280207925000000159e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.686857025000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000377096719780035e+00	1.989000000393568311e+33	5.352546198596552734e+11	3.241204776751937256e+11	2.727584698000000141e-01	6.962525988000000000e+10	8.593485021999999535e-11	4.878015408999999636e+03	1.048088851000000068e+04	3.233639720999999825e-08	7.444151885999999996e-01	3.844720122999999817e+33	5.768212363999999925e-02	0.000000000000000000e+00	1.651406364999999932e+00	3.932423934000000010e-01	1.004180459000000081e+00	1.697145454000000060e+08	8.923533627999999940e-01	2.274191746999999850e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.624556001000000164e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000368084523183265e+00	1.989000000390648249e+33	5.353693500242825317e+11	3.242605294360622559e+11	2.727584698000000141e-01	6.962463264000000000e+10	8.529730914999999807e-11	4.880226252999999815e+03	1.105144144000000051e+04	3.408198172999999738e-08	7.444151885999999996e-01	3.844720122999999817e+33	6.039406103000000137e-02	0.000000000000000000e+00	1.651046924999999943e+00	3.930698563000000201e-01	1.004303160000000084e+00	1.698061285000000000e+08	8.923533627999999940e-01	2.267587257000000136e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.561832298999999836e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000359016291310077e+00	1.989000000387551214e+33	5.355024950633897095e+11	3.244165148921251831e+11	2.727584698000000141e-01	6.962400150000000000e+10	8.462107802000000219e-11	4.882678326000000197e+03	1.165662180000000080e+04	3.593103700000000114e-08	7.444151885999999996e-01	3.844720122999999817e+33	6.324983153999999552e-02	0.000000000000000000e+00	1.650663484999999930e+00	3.928862634999999992e-01	1.004434151000000108e+00	1.699039270999999940e+08	8.923533627999999940e-01	2.260308082999999897e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.498717539999999851e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000349895759845564e+00	1.989000000384267117e+33	5.356564720827404785e+11	3.245901575871419067e+11	2.727584698000000141e-01	6.962336672000000000e+10	8.390398493000000440e-11	4.885397525000000314e+03	1.229837336999999934e+04	3.788892879999999980e-08	7.444151885999999996e-01	3.844720122999999817e+33	6.625611164000000386e-02	0.000000000000000000e+00	1.650254820000000011e+00	3.926911731000000128e-01	1.004573449000000007e+00	1.700081540999999940e+08	8.923533627999999940e-01	2.252288441000000148e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.435240194000000134e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000340726951835402e+00	1.989000000380785294e+33	5.358339270800152588e+11	3.247833590040797119e+11	2.727584698000000141e-01	6.962272858000000000e+10	8.314373069999999513e-11	4.888412433999999848e+03	1.297875388000000021e+04	3.996126501000000288e-08	7.444151885999999996e-01	3.844720122999999817e+33	6.942013882000000469e-02	0.000000000000000000e+00	1.649819525000000064e+00	3.924841022000000179e-01	1.004721009999999914e+00	1.701190305999999940e+08	8.923533627999999940e-01	2.243456393999999818e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.371425828000000119e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000331513028243746e+00	1.989000000377094504e+33	5.360377759076526489e+11	3.249982186579060059e+11	2.727584698000000141e-01	6.962208730000000000e+10	8.233788392000000579e-11	4.891754576000000270e+03	1.369993939999999930e+04	4.215389073999999741e-08	7.444151885999999996e-01	3.844720122999999817e+33	7.274976656999999902e-02	0.000000000000000000e+00	1.649356043000000049e+00	3.922645352999999946e-01	1.004876737000000020e+00	1.702367870000000000e+08	8.923533627999999940e-01	2.233733511999999791e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.307297417000000179e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000322256862674397e+00	1.989000000373183218e+33	5.362806931143902588e+11	3.252370429123307495e+11	2.727584698000000141e-01	6.962144308000000000e+10	8.148387539000000083e-11	4.895458687999999711e+03	1.446422935999999936e+04	4.447288424000000273e-08	7.444151885999999996e-01	3.844720122999999817e+33	7.625337846999999392e-02	0.000000000000000000e+00	1.648891799999999908e+00	3.920429947999999887e-01	1.005038091000000078e+00	1.703564505000000000e+08	8.923533627999999940e-01	2.223094652000000224e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.242875567000000179e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000312961185051419e+00	1.989000000369039330e+33	5.365613359705208130e+11	3.255023859664176636e+11	2.727584698000000141e-01	6.962079611000000000e+10	8.057899174000000269e-11	4.899563022999999703e+03	1.527405224000000089e+04	4.692454770999999957e-08	7.444151885999999996e-01	3.844720122999999817e+33	7.993992500999999584e-02	0.000000000000000000e+00	1.648409840000000015e+00	3.918131550999999768e-01	1.005206070999999923e+00	1.704809505999999940e+08	8.923533627999999940e-01	2.211416443999999956e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.178178662000000104e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
1.000303628294257674e+00	1.989000000364648717e+33	5.368843658628522949e+11	3.257970553272457275e+11	2.727584698000000141e-01	6.962014655000000000e+10	7.962036891999999463e-11	4.904109660000000076e+03	1.613197136999999930e+04	4.951539955999999933e-08	7.444151885999999996e-01	3.844720122999999817e+33	8.381897599000000254e-02	0.000000000000000000e+00	1.647910430999999898e+00	3.915752781999999876e-01	1.005380176999999930e+00	1.706101119000000060e+08	8.923533627999999940e-01	2.198604079000000183e+03	0.000000000000000000e+00	1.717365839999999977e-02	-2.113223003999999911e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.013438365000000091e-03	8.850788329999999607e-03
