x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385616977105707e+00	1.989000000396695611e+33	5.345664668198741455e+11	3.236342453583916016e+11	2.739668606999999811e-01	6.962584896000000000e+10	8.661772308000000182e-11	4.876166164999999637e+03	9.952662457000000359e+03	3.075281000000000312e-08	7.431782618000000173e-01	3.845173320999999969e+33	5.505493330999999824e-02	0.000000000000000000e+00	1.651761129999999911e+00	3.934117401000000180e-01	1.004063029000000107e+00	1.694319611999999881e+08	8.917008845999999656e-01	2.282760549999999967e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.683856587999999896e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000376675614341737e+00	1.989000000393940993e+33	5.346612284605673218e+11	3.237598163126248779e+11	2.739668606999999811e-01	6.962522665000000000e+10	8.601624631999999798e-11	4.878159289999999601e+03	1.049093806000000041e+04	3.240345939000000173e-08	7.431782618000000173e-01	3.845173320999999969e+33	5.762699290000000002e-02	0.000000000000000000e+00	1.651413181999999980e+00	3.932454562000000098e-01	1.004178366999999961e+00	1.695194691999999881e+08	8.917008845999999656e-01	2.276739498999999796e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.621624958999999985e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000367673474851671e+00	1.989000000391018337e+33	5.347758868570757446e+11	3.238997154947965698e+11	2.739668606999999811e-01	6.962460011000000000e+10	8.537809606000000415e-11	4.880370198999999957e+03	1.106203630999999950e+04	3.415265831000000159e-08	7.431782618000000173e-01	3.845173320999999969e+33	6.033646002999999702e-02	0.000000000000000000e+00	1.651053894999999994e+00	3.930729944999999947e-01	1.004301021000000071e+00	1.696109069000000060e+08	8.917008845999999656e-01	2.270127841999999873e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.558971246000000089e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000358615300081855e+00	1.989000000387918420e+33	5.349089253986586914e+11	3.240555311500819092e+11	2.739668606999999811e-01	6.962396967000000000e+10	8.470122010999999857e-11	4.882822344000000157e+03	1.166779389000000083e+04	3.600553845999999907e-08	7.431782618000000173e-01	3.845173320999999969e+33	6.318962956000000186e-02	0.000000000000000000e+00	1.650670561000000092e+00	3.928894592000000130e-01	1.004431968000000008e+00	1.697085615000000000e+08	8.917008845999999656e-01	2.262840639000000010e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.495927023000000045e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000349505113078408e+00	1.989000000384631152e+33	5.350627514047614136e+11	3.242289849297283936e+11	2.739668606999999811e-01	6.962333561000000000e+10	8.398344461000000137e-11	4.885541624000000411e+03	1.231015633999999955e+04	3.796747642000000109e-08	7.431782618000000173e-01	3.845173320999999969e+33	6.619317381000000555e-02	0.000000000000000000e+00	1.650261932999999903e+00	3.926944009000000180e-01	1.004571225999999928e+00	1.698126485000000000e+08	8.917008845999999656e-01	2.254811983999999939e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.432520719999999925e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000340346505846245e+00	1.989000000381145582e+33	5.352400015095816650e+11	3.244219754693016968e+11	2.739668606999999811e-01	6.962269818000000000e+10	8.322246838000000184e-11	4.888556622000000061e+03	1.299118316000000050e+04	4.004409116000000104e-08	7.431782618000000173e-01	3.845173320999999969e+33	6.935433282000000310e-02	0.000000000000000000e+00	1.649826589999999982e+00	3.924873309999999949e-01	1.004718749000000022e+00	1.699233915999999940e+08	8.917008845999999656e-01	2.245969818000000032e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.368777873999999836e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000331142783030147e+00	1.989000000377451622e+33	5.354438243790488892e+11	3.246366003926537476e+11	2.739668606999999811e-01	6.962205761000000000e+10	8.241585792999999397e-11	4.891898860999999670e+03	1.371305229999999938e+04	4.224123922999999886e-08	7.431782618000000173e-01	3.845173320999999969e+33	7.268095430000000301e-02	0.000000000000000000e+00	1.649363700000000099e+00	3.922680089000000203e-01	1.004874382999999982e+00	1.700408918000000119e+08	8.917008845999999656e-01	2.236237114000000020e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.304721432000000030e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000321897105594493e+00	1.989000000373536877e+33	5.356866066030460815e+11	3.248751628261694946e+11	2.739668606999999811e-01	6.962141412000000000e+10	8.156104187999999849e-11	4.895603082999999970e+03	1.447806514000000061e+04	4.456501079999999917e-08	7.431782618000000173e-01	3.845173320999999969e+33	7.618141427999999826e-02	0.000000000000000000e+00	1.648899847999999890e+00	3.920466369999999756e-01	1.005035659000000026e+00	1.701603315999999940e+08	8.917008845999999656e-01	2.225586968999999954e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.240371978000000119e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000312611916102767e+00	1.989000000369388665e+33	5.359670036350912476e+11	3.251402145425717773e+11	2.739668606999999811e-01	6.962076788000000000e+10	8.065530455000000126e-11	4.899707538999999997e+03	1.528865221999999994e+04	4.702172028000000128e-08	7.431782618000000173e-01	3.845173320999999969e+33	7.986465478000000229e-02	0.000000000000000000e+00	1.648418066000000071e+00	3.918168852999999729e-01	1.005203574999999905e+00	1.702846395999999940e+08	8.917008845999999656e-01	2.213895845999999892e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.175747876000000164e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
1.000303289513438276e+00	1.989000000364994305e+33	5.362897200277420044e+11	3.254345599220933838e+11	2.739668606999999811e-01	6.962011905000000000e+10	7.969577944000000517e-11	4.904254310000000260e+03	1.614737907000000087e+04	4.961789882999999671e-08	7.431782618000000173e-01	3.845173320999999969e+33	8.374023647999999376e-02	0.000000000000000000e+00	1.647918771000000060e+00	3.915790726000000221e-01	1.005377619999999972e+00	1.704136140999999940e+08	8.917008845999999656e-01	2.201069136999999955e+03	0.000000000000000000e+00	1.714512249999999849e-02	-2.110865405999999866e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.006769601000000069e-03	8.836081783000000744e-03
