x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385665234813981e+00	1.989000000396648341e+33	5.346379523045620728e+11	3.236773806513259277e+11	2.738461016000000026e-01	6.962585572000000000e+10	8.660741879999999500e-11	4.876258386999999857e+03	9.951670276999999260e+03	3.074564634999999844e-08	7.433018726000000242e-01	3.845464597000000188e+33	5.506041690999999988e-02	0.000000000000000000e+00	1.651761859999999915e+00	3.934121681000000148e-01	1.004062546999999972e+00	1.694510299000000060e+08	8.917660893000000089e-01	2.282457549000000199e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.684191748000000045e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000376722579365163e+00	1.989000000393893724e+33	5.347327452882258911e+11	3.238029686377376709e+11	2.738461016000000026e-01	6.962523332000000000e+10	8.600600194000000312e-11	4.878251549999999952e+03	1.048989215999999942e+04	3.239591101999999881e-08	7.433018726000000242e-01	3.845464597000000188e+33	5.763274438999999721e-02	0.000000000000000000e+00	1.651413967999999954e+00	3.932459160999999814e-01	1.004177848000000095e+00	1.695385280000000000e+08	8.917660893000000089e-01	2.276437398999999914e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.621951825000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000367719290873092e+00	1.989000000390971932e+33	5.348474692310917358e+11	3.239428868242493286e+11	2.738461016000000026e-01	6.962460670000000000e+10	8.536791538999999728e-11	4.880462499999999636e+03	1.106093330000000060e+04	3.414470188999999681e-08	7.433018726000000242e-01	3.845464597000000188e+33	6.034249596999999993e-02	0.000000000000000000e+00	1.651054833999999971e+00	3.930735236999999827e-01	1.004300457000000035e+00	1.696299385999999940e+08	8.917660893000000089e-01	2.269826923000000079e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.559289773999999836e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000358659823424201e+00	1.989000000387872014e+33	5.349805805776997070e+11	3.240987239298137207e+11	2.738461016000000026e-01	6.962397617000000000e+10	8.469110716000000106e-11	4.882914692000000286e+03	1.166663015000000087e+04	3.599714928999999945e-08	7.433018726000000242e-01	3.845464597000000188e+33	6.319596714000000337e-02	0.000000000000000000e+00	1.650671666000000037e+00	3.928900625999999785e-01	1.004431360000000106e+00	1.697275648000000119e+08	8.917660893000000089e-01	2.262541013999999905e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.496237175000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000349548343743900e+00	1.989000000384585324e+33	5.351344847582458496e+11	3.242722010758253784e+11	2.738461016000000026e-01	6.962334202000000000e+10	8.397340368000000602e-11	4.885634022999999615e+03	1.230892801999999938e+04	3.795862852000000132e-08	7.433018726000000242e-01	3.845464597000000188e+33	6.619983071000000441e-02	0.000000000000000000e+00	1.650263213999999978e+00	3.926950819000000203e-01	1.004570570999999912e+00	1.698316223000000119e+08	8.917660893000000089e-01	2.254513767999999800e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.432822462999999896e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000340388587517504e+00	1.989000000381100042e+33	5.353118201407305298e+11	3.244652181746693115e+11	2.738461016000000026e-01	6.962270451000000000e+10	8.321250400000000059e-11	4.888649078000000372e+03	1.298988621000000057e+04	4.003475714000000050e-08	7.433018726000000242e-01	3.845464597000000188e+33	6.936132613999999863e-02	0.000000000000000000e+00	1.649828056000000043e+00	3.924880934000000154e-01	1.004718046999999892e+00	1.699423348000000119e+08	8.917660893000000089e-01	2.245673137000000224e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.369071176999999955e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000331183715709393e+00	1.989000000377406081e+33	5.355157010221339111e+11	3.246798723020112305e+11	2.738461016000000026e-01	6.962206386000000000e+10	8.240597490000000253e-11	4.891991380999999819e+03	1.371168239999999969e+04	4.223139026999999861e-08	7.433018726000000242e-01	3.845464597000000188e+33	7.268830165999999593e-02	0.000000000000000000e+00	1.649365256999999918e+00	3.922688175999999860e-01	1.004873640000000012e+00	1.700598214000000060e+08	8.917660893000000089e-01	2.235941893000000164e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.305006266000000015e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000321936745603768e+00	1.989000000373491913e+33	5.357585688261397095e+11	3.249184674501638184e+11	2.738461016000000026e-01	6.962142028000000000e+10	8.155124527999999781e-11	4.895695673000000170e+03	1.447661774999999943e+04	4.455461662000000081e-08	7.433018726000000242e-01	3.845464597000000188e+33	7.618913402999999418e-02	0.000000000000000000e+00	1.648901562999999904e+00	3.920475172999999813e-01	1.005034868000000081e+00	1.701792358000000119e+08	8.917660893000000089e-01	2.225293465000000197e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.240648317000000179e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000312650263443848e+00	1.989000000369344278e+33	5.360390580294697266e+11	3.251835553073541870e+11	2.738461016000000026e-01	6.962077395000000000e+10	8.064559974000000219e-11	4.899800205999999889e+03	1.528712253000000055e+04	4.701074910000000097e-08	7.433018726000000242e-01	3.845464597000000188e+33	7.987276600999999865e-02	0.000000000000000000e+00	1.648419944000000026e+00	3.918178392000000176e-01	1.005202737000000068e+00	1.703035180000000000e+08	8.917660893000000089e-01	2.213604206999999860e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.176015692999999970e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
1.000303326711793117e+00	1.989000000364949917e+33	5.363618740448441162e+11	3.254779407552348022e+11	2.738461016000000026e-01	6.962012504000000000e+10	7.968617207999999611e-11	4.904347063999999591e+03	1.614576200000000063e+04	4.960631728999999970e-08	7.433018726000000242e-01	3.845464597000000188e+33	8.374875900000000595e-02	0.000000000000000000e+00	1.647920816999999927e+00	3.915801019999999855e-01	1.005376733999999939e+00	1.704324660000000000e+08	8.917660893000000089e-01	2.200779524000000038e+03	0.000000000000000000e+00	1.714797419999999906e-02	-2.111124673999999836e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007436036000000361e-03	8.837551463000000232e-03
